,LN_IC50
1012,5.380463
1013,8.095432
1014,6.760967
1015,7.003619
1016,5.520955
1017,7.064616
1018,6.588502
1019,4.537985
1020,7.149449
1021,7.603518
1022,6.903473
1023,4.17096
1024,4.36951
1025,6.577825
1026,5.965168
1027,5.455461
1028,6.623995
1029,5.851045
1030,8.707412
1031,4.811403
1032,2.73101
1033,6.023486
1034,6.378603
1035,6.525421
1036,3.815575
1037,1.261405
1038,3.934476
1039,2.456639
1040,9.143572
1041,4.931229
1042,6.725342
1043,6.238592
1044,6.549808
1045,3.642255
1046,7.494167
1047,5.955984
1048,0.828851
1049,-0.773718
1050,5.537453
1051,2.214669
1052,1.953626
1053,2.0209
1054,6.628305
1055,4.112467
1056,5.562209
1057,2.159929
1058,7.142354
1059,8.11325
1060,4.881329
1061,8.477984
1062,2.880926
1063,6.471735
1064,4.962716
1065,3.669765
1066,2.888522
1067,1.959283
1068,7.747364
1069,6.740708
1070,7.579965
1071,5.21363
1072,6.127854
1073,6.635211
1074,6.555643
1075,7.271003
1076,5.250492
1077,6.887686
1078,3.833835
1079,5.072638
1080,8.100946
1081,6.897024
1082,5.43979
1083,4.102003
1084,7.903287
1085,2.860639
1086,6.840575
1087,2.613766
1088,6.674673
1089,8.033569
1090,9.38824
1091,4.215556
1092,3.399759
1093,3.383163
1094,3.319573
1095,5.916535
1096,6.997313
1097,3.40913
1098,8.621277
1099,4.101718
1100,7.451586
1101,7.3718
1102,5.666717
1103,4.148897
1104,5.243198
1105,7.247079
1106,6.546398
1107,4.045878
1108,6.391004
1109,7.852254
1110,7.940072
1111,1.730601
1112,4.544198
1113,7.108986
1114,-0.509155
1115,6.133469
1116,7.534373
1117,7.820078
1118,2.39999
1119,8.089546
1120,4.741195
1121,9.082069
1122,5.161576
1123,5.408327
1124,0.653234
1125,6.626638
1126,6.88901
1127,1.861313
1128,4.314744
1129,5.794835
1130,2.845501
1131,3.493055
1132,-2.810803
1133,5.378423
1134,4.136962
1135,-0.865448
1136,5.898933
1137,7.129511
1138,4.248398
1139,5.293294
1140,8.517888
1141,6.286754
1142,5.247466
1143,-1.1966
1144,3.957148
1145,8.068851
1146,4.4881725
1147,5.584856
1148,5.737078
1149,5.750005
1150,2.385089
1151,6.23746
1152,2.394232
1153,3.709997
1154,3.205382
1155,5.96432
1156,6.919194
1157,7.18892
1158,5.896732
1159,6.975943
1160,7.574399
1161,6.946244
1162,6.361924
1163,5.963042
1164,2.479593
1165,6.739114
1166,2.009187
1167,1.941503
1168,4.928517
1169,5.090507
1170,2.145375
1171,5.027541
1172,5.1377
1173,3.25619
1174,1.953221
1175,1.975445
1176,5.712227
1177,3.003876
1178,1.683601
1179,2.893129
1180,3.856236
1181,1.399991
1182,2.874035
1183,2.189214
1184,1.84985
1185,2.034155
1186,0.344783
1187,3.597281
1188,4.101346
1189,2.498038
1190,1.228911
1191,-5.129027
1192,0.682934
1193,-2.454797
1194,6.373077
1195,2.145227
1196,5.458095
1197,4.288122
1198,4.806997
1199,3.267792
1200,5.441411
1201,2.092677
1202,-1.687381
1203,-0.482862
1204,3.085654
1205,-1.88672
1206,-4.419201
1207,3.343533
1208,2.894902
1209,3.296388
1210,-1.501627
1211,5.398763
1212,6.373034
1213,2.644263
1214,5.362727
1215,0.121124
1216,3.748089
1217,4.305596
1218,-2.051207
1219,0.135262
1220,4.627906
1221,5.363961
1222,3.940174
1223,3.496095
1224,4.463106
1225,3.973639
1226,4.97378
1227,6.574005
1228,4.431291
1229,2.653025
1230,1.965414
1231,2.21216
1232,5.620947
1233,4.970758
1234,6.003321
1235,3.799622
1236,5.511603
1237,-2.180883
1238,6.458991
1239,-2.646305
1240,2.728986
1241,6.132639
1242,4.836983
1243,2.374052
1244,0.335417
1245,3.341231
1246,4.962018
1247,4.962018
1248,6.23872
1249,5.953743
1250,1.345718
1251,6.585693
1252,4.555561
1253,4.585146
1254,5.832531
1255,2.376631
1256,0.64933
1257,6.572559
1258,3.907588
1259,4.964684
1260,2.75209
1261,2.668225
1262,5.555651
1263,4.499437
1264,-3.733837
1265,3.951191
1266,4.698444
1267,0.496352
1268,4.826512
1269,4.826512
1270,0.121098
1271,6.258885
1272,1.846686
1273,3.213999
1274,-1.115648
1275,3.106584
1276,4.119502
1277,3.728494
1278,-1.665864
1279,5.569832
1280,5.034307
1281,0.241885
1282,4.894136
1283,2.885371
1284,2.526151
1285,3.786197
1286,-4.507631
1287,3.581033
1288,2.53145
1289,-5.894978
1290,3.23858
1291,3.717157
1292,4.422106
1293,0.374862
1294,5.9895
1295,1.027913
1296,-0.037107
1297,0.681018
1298,2.823572
1299,3.571354
1300,4.573864
1301,4.638242
1302,2.110096
1303,-4.264354
1304,-1.945853
1305,-4.901078
1306,1.197437
1307,2.854991
1308,2.095969
1309,2.981245
1310,3.324777
1311,5.197105
1312,3.193261
1313,4.799518
1314,1.25035
1315,4.579607
1316,4.579607
1317,4.000838
1318,1.743843
1319,6.273838
1320,1.143341
1321,1.107968
1322,4.100541
1323,5.394559
1324,2.331587
1325,1.81123
1326,5.30426
1327,1.45738
1328,1.328947
1329,1.255584
1330,1.255584
1331,4.758906
1332,2.833517
1333,0.641321
1334,2.188325
1335,0.393084
1336,2.655044
1337,1.102843
1338,1.961456
1339,2.807676
1340,5.44179
1341,0.210262
1342,-0.647641
1343,2.10829
1344,5.259072
1345,3.436882
1346,2.048407
1347,-5.282821
1348,-0.336348
1349,-2.50228
1350,6.298243
1351,1.686647
1352,3.307063
1353,3.875403
1354,4.810022
1355,-0.237761
1356,4.934148
1357,5.051796
1358,-3.864633
1359,0.339006
1360,1.64513
1361,-2.09288
1362,-5.722991
1363,4.688175
1364,2.556527
1365,3.872623
1366,-1.672109
1367,5.485478
1368,5.657666
1369,2.627805
1370,4.242387
1371,0.864471
1372,3.2494085
1373,3.061036
1374,3.814241
1375,-3.045156
1376,-0.989998
1377,4.591793
1378,4.818617
1379,3.046428
1380,2.654209
1381,3.606879
1382,4.317125
1383,4.075294
1384,5.027236
1385,1.723246
1386,2.303608
1387,3.084395
1388,1.391909
1389,5.260905
1390,4.766563
1391,4.214204
1392,3.629345
1393,4.256013
1394,-3.289466
1395,5.447778
1396,-1.827506
1397,3.099978
1398,5.253903
1399,4.585755
1400,1.53073
1401,-0.541583
1402,0.715725
1403,2.089307
1404,3.904253
1405,4.449062
1406,1.21102
1407,6.102442
1408,1.102494
1409,5.335973
1410,4.385081
1411,2.15669
1412,1.451529
1413,3.945266
1414,3.246832
1415,5.234252
1416,1.880487
1417,2.399057
1418,3.640595
1419,-4.55298
1420,2.068322
1421,5.362879
1422,1.024292
1423,2.656548
1424,-0.027333
1425,5.370219
1426,-0.694037
1427,4.520068
1428,-1.298726
1429,3.369921
1430,3.024128
1431,2.377984
1432,-4.707942
1433,4.601224
1434,3.958504
1435,-0.548536
1436,5.064397
1437,1.483192
1438,3.445926
1439,4.293118
1440,-3.855494
1441,4.164987
1442,2.143465
1443,-4.775051
1444,1.726202
1445,2.468106
1446,0.818291
1447,-0.217512
1448,5.781225
1449,-0.280506
1450,-0.582813
1451,1.266045
1452,2.040871
1453,2.931189
1454,1.835931
1455,4.51409
1456,3.951009
1457,1.691708
1458,-4.637536
1459,-2.527197
1460,-3.8146
1461,1.268532
1462,1.332492
1463,0.82339
1464,0.82339
1465,4.234098
1466,1.912774
1467,4.093234
1468,4.585589
1469,3.84876
1470,1.793641
1471,3.750658
1472,7.667027
1473,4.405885
1474,3.212429
1475,-0.840938
1476,2.060465
1477,6.078519
1478,4.408055
1479,5.550529
1480,1.744584
1481,6.23183
1482,6.57245
1483,3.75071
1484,5.066541
1485,1.150063
1486,6.626445
1487,6.656089
1488,3.130355
1489,4.609018
1490,2.778521
1491,2.843262
1492,3.066296
1493,3.683023
1494,2.270474
1495,0.828185
1496,5.095673
1497,4.939404
1498,4.666088
1499,1.047488
1500,3.556015
1501,2.444862
1502,5.387909
1503,4.227372
1504,4.459119
1505,-2.493267
1506,2.180279
1507,3.556764
1508,7.491122
1509,3.318293
1510,7.0966
1511,4.858981
1512,6.544966
1513,4.949418
1514,6.658911
1515,6.168689
1516,-0.783151
1517,0.410027
1518,5.269769
1519,0.110265
1520,-0.55928
1521,-2.4532955
1522,6.583857
1523,3.924576
1524,1.03277
1525,5.23466
1526,1.209408
1527,5.728216
1528,5.499295
1529,2.864461
1530,7.427341
1531,4.066101
1532,4.199863
1533,3.704957
1534,3.351428
1535,6.165265
1536,1.865405
1537,3.788883
1538,6.54863
1539,3.917966
1540,2.515137
1541,4.290827
1542,5.910821
1543,3.863427
1544,5.503234
1545,1.221602
1546,2.778995
1547,6.499798
1548,3.139449
1549,3.742327
1550,6.147059
1551,0.017132
1552,4.873502
1553,5.772877
1554,3.371874
1555,5.467238
1556,6.620679
1557,-1.770203
1558,6.99408
1559,1.10739
1560,5.188296
1561,6.651213
1562,5.826482
1563,5.031742
1564,2.91641
1565,2.180794
1566,5.615187
1567,4.011298
1568,3.728606
1569,2.849717
1570,7.126117
1571,3.020439
1572,5.101153
1573,4.300862
1574,6.519732
1575,4.734991
1576,1.970476
1577,4.087169
1578,5.980885
1579,2.617206
1580,-0.153458
1581,3.39452
1582,6.574697
1583,3.837366
1584,-2.095657
1585,5.748736
1586,6.28877
1587,3.552785
1588,5.728507
1589,4.032734
1590,3.597041
1591,6.717168
1592,1.285615
1593,6.016857
1594,0.311137
1595,2.386696
1596,6.005353
1597,5.383817
1598,-1.571408
1599,4.367951
1600,5.474518
1601,6.189756
1602,5.405221
1603,5.405221
1604,1.235279
1605,0.954036
1606,3.334174
1607,3.334174
1608,6.810106
1609,4.65372
1610,7.109479
1611,-3.559094
1612,3.910985
1613,1.682216
1614,-2.707231
1615,6.507487
1616,5.622806
1617,1.079199
1618,2.783384
1619,8.260509
1620,5.191368
1621,5.683143
1622,5.017323
1623,4.003131
1624,6.261936
1625,2.490738
1626,6.163539
1627,6.479199
1628,3.974257
1629,-2.140396
1630,0.164929
1631,-1.084444
1632,1.444003
1633,5.310711
1634,2.918898
1635,5.473046
1636,4.464558
1637,4.464474
1638,5.55168
1639,5.153605
1640,3.61463
1641,4.181466
1642,5.505698
1643,4.793217
1644,3.154388
1645,1.102456
1646,1.785
1647,1.997935
1648,5.330588
1649,4.956045
1650,2.469787
1651,4.095551
1652,5.104457
1653,1.901168
1654,2.693212
1655,2.737402
1656,2.300048
1657,5.916501
1658,4.176626
1659,2.75222
1660,3.567681
1661,4.28036
1662,1.722188
1663,2.647607
1664,2.975624
1665,0.570116
1666,4.758182
1667,3.448554
1668,1.419701
1669,-1.273288
1670,-0.849096
1671,3.148676
1672,-1.343487
1673,6.271409
1674,4.28165
1675,2.500221
1676,-5.014631
1677,1.516309
1678,-1.236487
1679,7.292547
1680,1.72648
1681,4.821636
1682,2.130196
1683,5.816753
1684,2.687065
1685,4.57753
1686,5.499138
1687,-3.2026825
1688,-2.266315
1689,1.629347
1690,0.979504
1691,2.341466
1692,-1.879449
1693,4.928748
1694,3.239941
1695,1.673289
1696,3.711137
1697,-0.777686
1698,5.984585
1699,6.566484
1700,4.21896
1701,0.276339
1702,2.270349
1703,4.161687
1704,3.011963
1705,4.377846
1706,3.299812
1707,0.633207
1708,4.171256
1709,4.417475
1710,5.290632
1711,1.020171
1712,3.350317
1713,5.14899
1714,1.962072
1715,3.667043
1716,5.379868
1717,2.899598
1718,3.191836
1719,3.552649
1720,3.098801
1721,3.685844
1722,3.685844
1723,2.793099
1724,4.411858
1725,5.673465
1726,5.741985
1727,5.292006
1728,5.930169
1729,-2.620923
1730,5.710275
1731,-1.880168
1732,4.016807
1733,6.237004
1734,4.855797
1735,0.864263
1736,0.483701
1737,2.02158
1738,2.502126
1739,4.948131
1740,4.320046
1741,1.544629
1742,6.907447
1743,1.754377
1744,4.96865
1745,1.353969
1746,5.983512
1747,2.729194
1748,2.717173
1749,5.493409
1750,5.344286
1751,2.017942
1752,2.222149
1753,2.680217
1754,5.418746
1755,4.953979
1756,-4.252406
1757,4.427595
1758,6.000156
1759,2.016201
1760,2.343771
1761,2.580337
1762,4.164211
1763,6.131844
1764,1.513285
1765,4.665559
1766,-0.285144
1767,5.735994
1768,4.751747
1769,3.138554
1770,-3.053713
1771,3.917605
1772,1.803904
1773,6.383989
1774,3.63249
1775,-0.00085
1776,5.619625
1777,3.749958
1778,5.446077
1779,3.58713
1780,5.391143
1781,-2.295003
1782,3.910337
1783,2.81765
1784,-4.458438
1785,3.654821
1786,4.645496
1787,2.611017
1788,0.820352
1789,8.280169
1790,1.441276
1791,0.962446
1792,2.871643
1793,2.606949
1794,5.359405
1795,1.852177
1796,2.515168
1797,4.598306
1798,4.570137
1799,-2.224566
1800,-1.238708
1801,-2.00822
1802,3.468845
1803,3.840137
1804,1.21184
1805,4.136734
1806,2.658615
1807,5.593372
1808,5.058054
1809,4.60181
1810,3.022101
1811,2.655162
1812,4.548573
1813,7.360978
1814,2.853005
1815,5.256814
1816,3.984401
1817,3.15994
1818,5.073775
1819,5.395153
1820,2.548522
1821,5.719968
1822,6.133878
1823,5.848611
1824,2.947337
1825,2.947337
1826,2.481681
1827,7.04541
1828,2.599985
1829,2.178177
1830,3.771596
1831,3.488632
1832,3.249076
1833,3.052322
1834,3.326749
1835,2.258447
1836,6.724239
1837,2.209753
1838,0.4286
1839,3.975843
1840,4.646643
1841,3.0261
